sku,attribute_set_code,store_view_code,product_type,Y,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
B75-01,,,,Navy,,NAVY MIEL,,"15"" x 12,75”  x 6,5”  tiras  20""-37""",1100,,,,,,,,,NAVY MIEL,,"Mochila de cuero forrada en tela. Cierre de cordón y tapa con broche. Bolsillo interno con zipper y bolsillo interno para celular. Bolsillo externo con zipper. Correas ajustables.

Leather backpack, fabric lined inside. Strap and clasp closure. One inside zipper pocket and one inside cellphone pocket. One outside zipper pocket. Adjustable straps.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B75-03,,,,,,NAVY NEGRO,,"""",1100,,,,,,,,,NAVY NEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11-02,,,,Travel,,TRAVEL BACK PACK CAFE OSCURO,,"14,5"" x 11"" x 4,5"" tiras 26""-31""",1000,,,,,,,,,TRAVEL BACK PACK CAFE OSCURO,,"Mochila de cuero forrada en tela. Cierre con hebillas, dos bolsillos externos, un bolsillo interno con zipper y un bolsillo interno para el celular. Correas ajustables.

Leather backpack, fabric lined inside.  Hardware closure, two outside zipper pockets, one inside zipper pocket and one inside pocket for the cellphone. Adjustable straps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11-01,,,,,,TRAVEL BACK PACK MIEL,,"""",1000,,,,,,,,,TRAVEL BACK PACK MIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B24-55,,,,Otoño,,OTOÑO COOPER,,"11"" x 12"" x 5"" tiras 16,5""",600,,,,,,,,,OTOÑO COOPER,,"Bolso de cuero forrado en tela. Cierre con broche, un bolsillo interno y un bolsillo interno para el celular. Incluye un accesorio variado.

Leather hand bag, fabric lined inside. Clasp closure, one inside zipper pocket and one inside pocket for the cellphone. Includes an assorted accessory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B24-59,,,,,,OTOÑO SELVA,,"""",600,,,,,,,,,OTOÑO SELVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B24-01,,,,,,OTOÑO MIEL,,"""",600,,,,,,,,,OTOÑO MIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B67-01,,,,Buckets,,BUCKET MIEL,,"13"" x 11"" x 6,5"" tira corta 18 tira larga 37""",730,,,,,,,,,BUCKET MIEL,,"Bolso de cuero sin forrar. Con cierre de cordón. Bolsillo interno para celular. Una correa corta para el hombro y una correa larga para cruzar.

Unlined leather shoulder bag. Strap closure. One inside cellphone pocket. One shoulder strap and one removable strap to use as a crossbody bag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B67-30,,,,,,BUCKET NOPPI SABAN,,"""",718,,,,,,,,,BUCKET NOPPI SABAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-01,,,,Canela,,CANELA MIEL,,"12"" x 14,5"" agarraderas 16,5""  tira larga 30"" - 54""",650,,,,,,,,,CANELA MIEL,,"Bolso de cuero forrado en tela. Cierre con zipper y un bolsillo interno con zipper. Correa ajustable, se puede usar como bolso de mano o como bolso de cruzar.

Leather handbag, fabric lined inside. Zipper closure and one inside zipper pocket. Adjustable strap, can be worn as a handbag or cross body bag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B21-03,,,,,,CANELA NEGRO,,"""",675,,,,,,,,,CANELA NEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B38-37,,,,Eucalipto,,EUCALIPTO ESPAñA,,"15,5"" x 17"" x 4,5"" agarraderas 22""",550,,,,,,,,,EUCALIPTO ESPAñA,,"Bolso de cuero sin forrar. Sin cierre. Un bolsillo interno para el celular.
Unlined leather tote bag. No zipper closure. One inside cellphone pocket.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B38-11,,,,,,EUCALIPTO NARANJA,,"""",550,,,,,,,,,EUCALIPTO NARANJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B38-01,,,,,,EUCALIPTO MIEL,,"""",550,,,,,,,,,EUCALIPTO MIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B83-55,,,,,,EUCALIPTO PEQUEñO COOPER,,"13,5"" x 13"" x 3"" agarraderas 20,5"" , tira larga 38""",530,,,,,,,,,EUCALIPTO PEQUEñO COOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B83-59,,,,,,EUCALIPTO PEQUEÑO SELVA,,"""",530,,,,,,,,,EUCALIPTO PEQUEÑO SELVA,,"Bolso de cuero metálico sin forrar. Sin cierre, con bolsillo interno para el celular. Correa removible.

Unlined metallic leather crossbody bag. No zipper closure, one inside cellphone pocket. Removable cross body strap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B83-52,,,,,,EUCALIPTO PEQUEñO DORADO,,"""",530,,,,,,,,,EUCALIPTO PEQUEñO DORADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B35-06,,,,Hortensia,,HORTENSIA CACAO,,"11"" x 16"" x 3"" agarraderas 18"" , tira larga 30"" - 53"" ",870,,,,,,,,,HORTENSIA CACAO,,"Bolso de cuero forrado en tela. Cierre con zipper, un bolsillo externo, un bolsillo interno con zipper y un bolsillo interno para el celular. Correa ajustable, se puede usar como bolso de mano o como bolsos de cruzar.

Leather handbag, fabric lined inside. Zipper closure, one outside zipper pocket, one inside zipper pocket and one inside pocket for the cellphone. Adjustable strap, can be worn as a handbag or cross body bag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B35-01,,,,,,HORTENSIA MIEL,,"""",870,,,,,,,,,HORTENSIA MIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B35-03,,,,,,HORTENSIA NEGRO,,"""",870,,,,,,,,,HORTENSIA NEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
