sku,attribute_set_code,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
A43-03,Default,,simple,Default Category,base,MARICONERA NEGRO,,"""",195,1,Taxable Goods,"Catalog, Search",80000,,,,A43-03,MARICONERA NEGRO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A43-20,Default,,simple,Default Category,base,MARICONERA ROJO,,"""",190,1,Taxable Goods,"Catalog, Search",80000,,,,A43-20,MARICONERA ROJO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A53-01,Default,,simple,Default Category/Estuche de Lentes,base,ESTUCHE LENTES MIEL,,"3,7"" x 7,2"" ",62,1,Taxable Goods,"Catalog, Search",80000,,,,A53-01,ESTUCHE LENTES MIEL,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A53-11,Default,,simple,Default Category,base,ESTUCHE LENTES NARANJA,,"""",62,1,Taxable Goods,"Catalog, Search",80000,,,,A53-11,ESTUCHE LENTES NARANJA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A53-03,Default,,simple,Default Category,base,ESTUCHE LENTES NEGRO,,"""",62,1,Taxable Goods,"Catalog, Search",80000,,,,A53-03,ESTUCHE LENTES NEGRO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A53-20,Default,,simple,Default Category,base,ESTUCHE LENTES ROJO,,"""",62,1,Taxable Goods,"Catalog, Search",80000,,,,A53-20,ESTUCHE LENTES ROJO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A53-59,Default,,simple,Default Category,base,ESTUCHE LENTES SELVA,,"""",62,1,Taxable Goods,"Catalog, Search",80000,,,,A53-59,ESTUCHE LENTES SELVA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A26-55,Default,,simple,Default Category/Cosmetiquera Metalica,base,COSMETIQUERA METALIZADA COOPER,,"5,5"" x 11"" x 2,5""",153,1,Taxable Goods,"Catalog, Search",80000,,,,A26-55,COSMETIQUERA METALIZADA COOPER,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A26-59,Default,,simple,Default Category,base,COSMETIQUERA METALIZADA SELVA,,"""",160,1,Taxable Goods,"Catalog, Search",80000,,,,A26-59,COSMETIQUERA METALIZADA SELVA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-01,Default,,simple,Default Category/Tajetero miel,base,TARJETERO MIEL,,"4"" x 3""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-01,TARJETERO MIEL,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-11,Default,,simple,Default Category,base,TARJETERO NARANJA,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-11,TARJETERO NARANJA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-03,Default,,simple,Default Category,base,TARJETERO NEGRO,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-03,TARJETERO NEGRO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-46,Default,,simple,Default Category,base,TARJETERO PEACH,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-46,TARJETERO PEACH,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-20,Default,,simple,Default Category,base,TARJETERO ROJO,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-20,TARJETERO ROJO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-47,Default,,simple,Default Category,base,TARJETERO ROSE,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-47,TARJETERO ROSE,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A10-59,Default,,simple,Default Category,base,TARJETERO SELVA,,"""",35,1,Taxable Goods,"Catalog, Search",80000,,,,A10-59,TARJETERO SELVA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
